UID,PIN,Email,User Role,Garage Role
814662528,897366,814662528@eagle.fgcu.edu ,2,1
814579712,566244,814579712@eagle.fgcu.edu ,0,9
814359424,559608,814359424@eagle.fgcu.edu ,2,4
814754624,313937,814754624@eagle.fgcu.edu ,1,8
814569024,50949,814569024@eagle.fgcu.edu ,0,0
814391488,574335,814391488@eagle.fgcu.edu ,1,3
814658496,4179,814658496@eagle.fgcu.edu ,1,0
814857408,245804,814857408@eagle.fgcu.edu ,0,3
814526272,520928,814526272@eagle.fgcu.edu ,2,0
814519616,164399,814519616@eagle.fgcu.edu ,0,1
814273984,499565,814273984@eagle.fgcu.edu ,2,6
814011008,228487,814011008@eagle.fgcu.edu ,2,4
814534400,307301,814534400@eagle.fgcu.edu ,1,3
814964224,805279,814964224@eagle.fgcu.edu ,2,2
814205824,576926,814205824@eagle.fgcu.edu ,0,6
814480960,527564,814480960@eagle.fgcu.edu ,2,5
814124416,410069,814124416@eagle.fgcu.edu ,1,9
814459584,762553,814459584@eagle.fgcu.edu ,0,4
814188544,705102,814188544@eagle.fgcu.edu ,2,8
814267328,143036,814267328@eagle.fgcu.edu ,0,0
814765312,563653,814765312@eagle.fgcu.edu ,1,9
814536960,36223,814536960@eagle.fgcu.edu ,1,1
814487616,149672,814487616@eagle.fgcu.edu ,1,2
814370112,74903,814370112@eagle.fgcu.edu ,1,4
814722560,299211,814722560@eagle.fgcu.edu ,2,9
814665152,360708,814665152@eagle.fgcu.edu ,0,9
814103104,645059,814103104@eagle.fgcu.edu ,1,1
814523712,57586,814523712@eagle.fgcu.edu ,1,3
814996288,85584,814996288@eagle.fgcu.edu ,1,2
814109696,267167,814109696@eagle.fgcu.edu ,0,7
814034944,456840,814034944@eagle.fgcu.edu ,2,0
814259264,356663,814259264@eagle.fgcu.edu ,1,4
814320768,922773,814320768@eagle.fgcu.edu ,1,8
814605120,224442,814605120@eagle.fgcu.edu ,0,1
814017600,585016,814017600@eagle.fgcu.edu ,1,0
814045632,972135,814045632@eagle.fgcu.edu ,1,8
814227200,341936,814227200@eagle.fgcu.edu ,2,4
814416896,232532,814416896@eagle.fgcu.edu ,1,6
814316672,29587,814316672@eagle.fgcu.edu ,0,6
814882816,638423,814882816@eagle.fgcu.edu ,1,6
814184448,811915,814184448@eagle.fgcu.edu ,1,7
814545024,822596,814545024@eagle.fgcu.edu ,1,4
814932160,790552,814932160@eagle.fgcu.edu ,1,3
814301952,886684,814301952@eagle.fgcu.edu ,2,4
814192576,598288,814192576@eagle.fgcu.edu ,0,0
814989632,463476,814989632@eagle.fgcu.edu ,0,2
814598464,602333,814598464@eagle.fgcu.edu ,2,2
